"event_id","event_name","subevent_name","subevent_id","type_code"
33,"Score","Try",51,"rugby7"
33,"Score","Successful Conversion",52,"rugby7"
33,"Score","Succesful Penalty",53,"rugby7"
33,"Score","Missed Conversion",69,"rugby7"
33,"Score","Missed Penalty",70,"rugby7"
33,"Score","successful drop goal",71,"rugby7"
33,"Score","Missed Drop Goal",72,"rugby7"
33,"Score","Penalty Try",142,"rugby7"
33,"Score","Successful penalty",312,"rugby7"
37,"Linebreak","Left 15m",530,"rugby7"
37,"Linebreak","Center",532,"rugby7"
37,"Linebreak","Right 15m",534,"rugby7"
42,"Tackle","Positive",56,"rugby15"
42,"Tackle","Negative",57,"rugby15"
42,"Tackle","Held up",139,"rugby15"
44,"Carries","Own 22",357,"rugby15"
44,"Carries","Own 50",358,"rugby15"
44,"Carries","Opponents 50",359,"rugby15"
44,"Carries","Opponents 22",360,"rugby15"
45,"Turnover","Ruck turnover",211,"rugby15"
45,"Turnover","Pass Intercept",212,"rugby15"
45,"Turnover","Ball steal",213,"rugby15"
46,"Penalties conceded","Holding on",123,"rugby15"
46,"Penalties conceded","Not Releasing",124,"rugby15"
46,"Penalties conceded","offside",125,"rugby15"
46,"Penalties conceded","Dangerous Tackle",126,"rugby15"
46,"Penalties conceded","Line out Penalty",127,"rugby15"
46,"Penalties conceded","Not rolling away",128,"rugby15"
46,"Penalties conceded","Scrum Penalty",129,"rugby15"
46,"Penalties conceded","Obstruction",130,"rugby15"
46,"Penalties conceded","Cynical",131,"rugby15"
46,"Penalties conceded","Repeated infringement",132,"rugby15"
46,"Penalties conceded","Diving in ruck",133,"rugby15"
46,"Penalties conceded","Off feet",134,"rugby15"
46,"Penalties conceded","Hands in the ruck",135,"rugby15"
46,"Penalties conceded","Late charge on kicker",136,"rugby15"
46,"Penalties conceded","intentional taping",137,"rugby15"
46,"Penalties conceded","Side Entry ",140,"rugby15"
46,"Penalties conceded","Double movement",199,"rugby15"
46,"Penalties conceded","Elbow In Carry",206,"rugby15"
46,"Penalties conceded","Late Tackle",313,"rugby15"
46,"Penalties conceded","Tackle without the ball",314,"rugby15"
46,"Penalties conceded","Time wasting",315,"rugby15"
46,"Penalties conceded","Collapsing maul",316,"rugby15"
46,"Penalties conceded","Numbers in the lineout",317,"rugby15"
46,"Penalties conceded","Playing the 9",483,"rugby15"
46,"Penalties conceded","Tackling man in the air",484,"rugby15"
46,"Penalties conceded","Dangerous Cleanout",489,"rugby15"
46,"Penalties conceded","Dangerous Play",490,"rugby15"
49,"Score","Missed Conversion",42,"rugby15"
49,"Score","Successful Drop Goal",43,"rugby15"
49,"Score","Successful Penalty",44,"rugby15"
49,"Score","Successful Conversion",60,"rugby15"
49,"Score","Missed Penalty",61,"rugby15"
49,"Score","Missed Drop Goal",62,"rugby15"
49,"Score","Try",66,"rugby15"
49,"Score","Penalty Try",200,"rugby15"
50,"Lineout","Won",40,"rugby15"
50,"Lineout","Lost",41,"rugby15"
50,"Lineout","Stolen",65,"rugby15"
51,"Scrum","Won",38,"rugby15"
51,"Scrum","Lost",39,"rugby15"
51,"Scrum","Stolen",58,"rugby15"
55,"Card","Red",45,"rugby15"
55,"Card","Yellow",46,"rugby15"
56,"Tackle","Positive",63,"rugby7"
56,"Tackle","Negative",64,"rugby7"
56,"Tackle","Held up",118,"rugby7"
58,"Carries","Own 22",362,"rugby7"
58,"Carries","Own 50",363,"rugby7"
58,"Carries","Opponents 50",364,"rugby7"
58,"Carries","Opponents 22",365,"rugby7"
59,"Turnover","Ruck turnover",214,"rugby7"
59,"Turnover","Pass Intercept",215,"rugby7"
59,"Turnover","Ball steal",216,"rugby7"
60,"Penalties conceded","Holding on",98,"rugby7"
60,"Penalties conceded","Not Releasing",99,"rugby7"
60,"Penalties conceded","offside",100,"rugby7"
60,"Penalties conceded","Dangerous Tackle",101,"rugby7"
60,"Penalties conceded","Line out Penalty",102,"rugby7"
60,"Penalties conceded","Not rolling away",103,"rugby7"
60,"Penalties conceded","Scrum Penalty",104,"rugby7"
60,"Penalties conceded","Obstruction",109,"rugby7"
60,"Penalties conceded","Cynical",110,"rugby7"
60,"Penalties conceded","Repeated infringement ",111,"rugby7"
60,"Penalties conceded","Diving in ruck",112,"rugby7"
60,"Penalties conceded","Off feet",113,"rugby7"
60,"Penalties conceded","Hands in the ruck",114,"rugby7"
60,"Penalties conceded","Late charge on kicker",115,"rugby7"
60,"Penalties conceded","intentional taping",116,"rugby7"
60,"Penalties conceded","Side way Entry",141,"rugby7"
60,"Penalties conceded","Double movement",197,"rugby7"
60,"Penalties conceded","Elbow In Carry",207,"rugby7"
60,"Penalties conceded","Late Tackle",318,"rugby7"
60,"Penalties conceded","Tackle without the ball",319,"rugby7"
60,"Penalties conceded","Time wasting",320,"rugby7"
60,"Penalties conceded","Collapsing maul",321,"rugby7"
60,"Penalties conceded","Numbers in the lineout",322,"rugby7"
60,"Penalties conceded","Playing the 9",485,"rugby7"
60,"Penalties conceded","Tackling man in the air",486,"rugby7"
60,"Penalties conceded","Dangerous Cleanout",493,"rugby7"
60,"Penalties conceded","Dangerous Play",494,"rugby7"
62,"Lineout","Won",49,"rugby7"
62,"Lineout","Lost",50,"rugby7"
62,"Lineout","Stolen",68,"rugby7"
63,"Scrum","Won",47,"rugby7"
63,"Scrum","Lost",48,"rugby7"
63,"Scrum","Stolen",67,"rugby7"
66,"Card","Yellow",54,"rugby7"
66,"Card","Red",55,"rugby7"
71,"Tackle","Positive",83,"rugby10"
71,"Tackle","Negative",84,"rugby10"
72,"Carries","Own 22",367,"rugby10"
72,"Carries","Own 50",368,"rugby10"
72,"Carries","Opponents 50",369,"rugby10"
72,"Carries","Opponents 22",370,"rugby10"
75,"Lineout","Won",85,"rugby10"
75,"Lineout","Lost",86,"rugby10"
75,"Lineout","Stolen",87,"rugby10"
76,"Scrum","Won",88,"rugby10"
76,"Scrum","Lost",89,"rugby10"
76,"Scrum","Stolen",90,"rugby10"
77,"Turnover","Ruck turnover",208,"rugby10"
77,"Turnover","Pass Intercept",209,"rugby10"
77,"Turnover","Ball steal",210,"rugby10"
78,"Penalties conceded","Double movement",195,"rugby10"
78,"Penalties conceded","Elbow In Carry",205,"rugby10"
78,"Penalties conceded","Late Tackle",323,"rugby10"
78,"Penalties conceded","Tackle without the ball",324,"rugby10"
78,"Penalties conceded","Time wasting",325,"rugby10"
78,"Penalties conceded","Collapsing maul",326,"rugby10"
78,"Penalties conceded","Numbers in the lineout",327,"rugby10"
78,"Penalties conceded","Playing the 9",487,"rugby10"
78,"Penalties conceded","Tackling man in the air",488,"rugby10"
78,"Penalties conceded","Dangerous Cleanout",491,"rugby10"
78,"Penalties conceded","Dangerous Play",492,"rugby10"
79,"Score","Try",91,"rugby10"
79,"Score","Successful Conversion",92,"rugby10"
79,"Score","Missed conversion",93,"rugby10"
79,"Score","Successful penalty",94,"rugby10"
79,"Score","Missed penalty",95,"rugby10"
79,"Score","Successful drop goal",96,"rugby10"
